ID,Zip,Average Annual Income,Average annual disposable funds,Education,Average age,age18-25,age 26-35,age 36-50,age 51-69,age 70+,Population,Female,Male,State
100027,667,57881,5247,Doctorate Degree,37,0.2,0.18,0.24,0.3,0.08,25968,0.64,0.36,Puerto Rico
100028,669,106673,12887,Master's Degree,37,0.19,0.22,0.28,0.24,0.07,29744,0.56,0.44,Puerto Rico
100029,670,113713,10741,GED,29,0.31,0.2,0.24,0.17,0.08,9807,0.44,0.56,Puerto Rico
100030,674,101227,9203,Master's Degree,26,0.21,0.25,0.2,0.26,0.08,44457,0.47,0.53,Puerto Rico
100031,676,165476,24297,Bachelor's Degree,30,0.2,0.26,0.18,0.28,0.08,40316,0.49,0.51,Puerto Rico
100032,677,112661,7756,GED,22,0.24,0.26,0.21,0.22,0.07,15272,0.54,0.46,Puerto Rico
100033,678,152943,18787,Master's Degree,31,0.25,0.18,0.21,0.29,0.07,27819,0.59,0.41,Puerto Rico
100034,680,161645,14696,Associate's Degree,30,0.27,0.17,0.25,0.22,0.09,58140,0.5,0.5,Puerto Rico
100035,682,75296,8157,Bachelor's Degree,34,0.24,0.19,0.29,0.21,0.07,32615,0.6,0.4,Puerto Rico
100036,683,81452,5617,Bachelor's Degree,26,0.23,0.27,0.19,0.23,0.08,33772,0.64,0.36,Puerto Rico
100037,685,109887,12628,Some High School,32,0.19,0.28,0.22,0.22,0.09,42831,0.56,0.44,Puerto Rico
100038,687,115822,10296,Some High School,32,0.25,0.18,0.29,0.22,0.06,32610,0.45,0.55,Puerto Rico
100039,688,75857,10060,Master's Degree,32,0.22,0.29,0.17,0.24,0.08,13543,0.54,0.46,Puerto Rico
100040,690,133558,16974,Master's Degree,26,0.28,0.22,0.26,0.18,0.06,6255,0.44,0.56,Puerto Rico
100041,692,112251,12391,Some College,30,0.22,0.17,0.26,0.26,0.09,37511,0.46,0.54,Puerto Rico
100042,693,101274,10693,GED,33,0.22,0.21,0.29,0.2,0.08,61038,0.51,0.49,Puerto Rico
100043,694,59383,3635,Associate's Degree,36,0.26,0.21,0.29,0.17,0.07,328,0.66,0.34,Puerto Rico
100044,698,73257,10678,High School Diploma,28,0.32,0.19,0.22,0.2,0.07,41782,0.46,0.54,Puerto Rico
100045,703,106969,14989,High School Diploma,20,0.23,0.21,0.24,0.24,0.08,28605,0.62,0.38,Puerto Rico
100046,704,112881,12882,Some High School,33,0.27,0.21,0.26,0.2,0.06,8577,0.44,0.56,Puerto Rico
100047,705,130825,10795,Doctorate Degree,37,0.26,0.22,0.26,0.2,0.06,25598,0.58,0.42,Puerto Rico
100048,707,90585,9596,Master's Degree,33,0.18,0.3,0.19,0.25,0.08,12225,0.53,0.47,Puerto Rico
100049,714,131818,8553,Master's Degree,22,0.3,0.18,0.25,0.19,0.08,19566,0.5,0.5,Puerto Rico
100050,715,67745,8702,Some High School,29,0.3,0.25,0.17,0.22,0.06,3656,0.46,0.54,Puerto Rico
100051,716,32098,2643,Associate's Degree,31,0.28,0.2,0.19,0.26,0.07,33779,0.43,0.57,Puerto Rico
100052,717,92805,5253,Bachelor's Degree,28,0.21,0.22,0.3,0.19,0.08,18457,0.67,0.33,Puerto Rico
100053,718,95784,7498,Bachelor's Degree,32,0.22,0.29,0.17,0.25,0.07,26606,0.67,0.33,Puerto Rico
100054,719,151163,9825,Some College,28,0.22,0.25,0.29,0.17,0.07,30990,0.4,0.6,Puerto Rico
100055,720,164173,21937,Bachelor's Degree,30,0.17,0.24,0.27,0.23,0.09,23129,0.49,0.51,Puerto Rico
100056,723,154539,13705,Bachelor's Degree,35,0.18,0.29,0.27,0.18,0.08,19277,0.62,0.38,Puerto Rico
100057,725,51914,5112,Bachelor's Degree,28,0.17,0.29,0.23,0.23,0.08,89374,0.4,0.6,Puerto Rico
100058,727,118925,13656,Some College,30,0.19,0.21,0.23,0.3,0.07,58382,0.64,0.36,Puerto Rico
100059,728,48784,4668,Some High School,40,0.13,0.24,0.24,0.3,0.09,44908,0.52,0.48,Puerto Rico
100060,729,167252,17142,Associate's Degree,33,0.28,0.3,0.19,0.17,0.06,53750,0.63,0.37,Puerto Rico
100061,730,154921,15205,Doctorate Degree,38,0.28,0.29,0.19,0.17,0.07,35742,0.66,0.34,Puerto Rico
100062,731,60275,6657,Master's Degree,18,0.32,0.18,0.17,0.24,0.09,15524,0.55,0.45,Puerto Rico
100063,735,111486,8456,High School Diploma,29,0.21,0.28,0.17,0.26,0.08,13730,0.42,0.58,Puerto Rico
100064,736,61435,8555,Some College,30,0.24,0.28,0.19,0.23,0.06,51532,0.56,0.44,Puerto Rico
100065,738,49989,6270,High School Diploma,41,0.24,0.22,0.17,0.29,0.08,34922,0.55,0.45,Puerto Rico
100066,739,161676,10023,Master's Degree,24,0.3,0.23,0.18,0.22,0.07,39678,0.44,0.56,Puerto Rico
100067,740,162278,17840,Bachelor's Degree,29,0.26,0.18,0.27,0.21,0.08,2071,0.52,0.48,Puerto Rico
100068,741,94334,8648,Doctorate Degree,28,0.24,0.29,0.23,0.18,0.06,4971,0.61,0.39,Puerto Rico
100069,745,135539,9256,High School Diploma,31,0.22,0.28,0.22,0.19,0.09,55062,0.51,0.49,Puerto Rico
100070,751,63904,3844,Bachelor's Degree,26,0.36,0.17,0.23,0.17,0.07,23129,0.43,0.57,Puerto Rico
100071,754,72160,6342,Some College,30,0.19,0.28,0.21,0.26,0.06,40828,0.46,0.54,Puerto Rico
100072,757,51299,6389,Master's Degree,38,0.18,0.2,0.28,0.27,0.07,23263,0.56,0.44,Puerto Rico
100073,765,115724,11378,Associate's Degree,30,0.11,0.27,0.26,0.29,0.07,9098,0.5,0.5,Puerto Rico
100074,766,32054,3648,Master's Degree,39,0.11,0.27,0.3,0.26,0.06,26488,0.45,0.55,Puerto Rico
100075,767,163121,22970,Doctorate Degree,23,0.23,0.17,0.25,0.26,0.09,38019,0.5,0.5,Puerto Rico
100076,769,31581,2360,Associate's Degree,23,0.18,0.25,0.29,0.19,0.09,40248,0.46,0.54,Puerto Rico
100077,771,77193,9629,GED,29,0.29,0.17,0.18,0.28,0.08,38394,0.45,0.55,Puerto Rico
100078,772,29862,1684,Some College,36,0.11,0.26,0.26,0.3,0.07,23105,0.64,0.36,Puerto Rico
100079,773,106782,7601,Bachelor's Degree,38,0.04,0.3,0.28,0.3,0.08,20068,0.56,0.44,Puerto Rico
100080,775,172007,16970,Some High School,26,0.1,0.26,0.27,0.29,0.08,1786,0.48,0.52,Puerto Rico
100081,777,101516,13536,Some High School,30,0.28,0.17,0.25,0.24,0.06,40684,0.48,0.52,Puerto Rico
100082,778,170199,22301,Doctorate Degree,28,0.09,0.27,0.29,0.26,0.09,45429,0.62,0.38,Puerto Rico
100083,780,127579,15937,Bachelor's Degree,22,0.31,0.2,0.18,0.22,0.09,13800,0.48,0.52,Puerto Rico
100084,782,105597,8966,Some College,24,0.41,0.17,0.17,0.19,0.06,19304,0.6,0.4,Puerto Rico
100085,783,108507,9456,Master's Degree,31,0.17,0.24,0.29,0.22,0.08,36557,0.47,0.53,Puerto Rico
100086,784,131804,7427,GED,24,0.23,0.22,0.26,0.2,0.09,44637,0.58,0.42,Puerto Rico
100087,786,69392,6007,Bachelor's Degree,30,0.22,0.18,0.24,0.28,0.08,357,0.52,0.48,Puerto Rico
100088,791,35033,3538,Bachelor's Degree,27,0.23,0.2,0.23,0.26,0.08,53417,0.55,0.45,Puerto Rico
100089,794,116297,5935,Doctorate Degree,27,0.22,0.23,0.24,0.24,0.07,30585,0.5,0.5,Puerto Rico
100090,795,140412,15425,Some College,35,0.2,0.22,0.24,0.26,0.08,48736,0.67,0.33,Puerto Rico
100091,901,100005,9057,Master's Degree,27,0.15,0.23,0.28,0.25,0.09,7080,0.44,0.56,Puerto Rico
100092,906,99232,10926,Associate's Degree,30,0.18,0.24,0.27,0.24,0.07,28,0.48,0.52,Puerto Rico
100093,907,112786,6893,Doctorate Degree,27,0.29,0.18,0.29,0.18,0.06,17458,0.42,0.58,Puerto Rico
100094,909,159163,23184,Master's Degree,28,0.31,0.26,0.17,0.18,0.08,6230,0.52,0.48,Puerto Rico
100095,911,30349,1806,Associate's Degree,36,0.18,0.26,0.3,0.2,0.06,8623,0.54,0.46,Puerto Rico
100096,912,158371,21305,GED,33,0.22,0.19,0.29,0.23,0.07,6801,0.44,0.56,Puerto Rico
100097,913,153684,21690,High School Diploma,31,0.28,0.2,0.18,0.26,0.08,9312,0.61,0.39,Puerto Rico
100098,915,93725,6222,Some High School,25,0.19,0.24,0.3,0.19,0.08,32820,0.42,0.58,Puerto Rico
100099,917,33164,3564,Doctorate Degree,28,0.27,0.28,0.19,0.18,0.08,21053,0.56,0.44,Puerto Rico
100100,918,89609,10415,Some College,31,0.12,0.29,0.22,0.29,0.08,18056,0.62,0.38,Puerto Rico
100101,920,38005,4929,Doctorate Degree,42,0.17,0.28,0.29,0.18,0.08,17893,0.43,0.57,Puerto Rico
100102,921,151030,14498,High School Diploma,26,0.2,0.24,0.22,0.28,0.06,37763,0.59,0.41,Puerto Rico
100103,923,95961,10387,Master's Degree,32,0.15,0.29,0.29,0.18,0.09,29086,0.55,0.45,Puerto Rico
100104,924,34164,2145,Doctorate Degree,23,0.37,0.17,0.22,0.18,0.06,56691,0.54,0.46,Puerto Rico
100105,925,90198,12393,Some High School,37,0.24,0.27,0.2,0.23,0.06,8696,0.55,0.45,Puerto Rico
100106,926,46413,3967,Doctorate Degree,23,0.35,0.19,0.21,0.19,0.06,108862,0.47,0.53,Puerto Rico
100107,927,70518,6277,Some College,25,0.24,0.25,0.2,0.22,0.09,14936,0.6,0.4,Puerto Rico
100108,934,91427,6593,Some College,34,0.25,0.24,0.22,0.22,0.07,288,0.61,0.39,Puerto Rico
100109,936,177921,11177,High School Diploma,26,0.3,0.19,0.17,0.27,0.07,681,0.6,0.4,Puerto Rico
100110,949,66660,4661,Associate's Degree,24,0.24,0.18,0.27,0.25,0.06,82278,0.43,0.57,Puerto Rico
100111,950,121629,11991,Some High School,35,0.21,0.28,0.17,0.25,0.09,33,0.55,0.45,Puerto Rico
100112,951,96624,10713,Doctorate Degree,30,0.19,0.23,0.24,0.26,0.08,59,0.46,0.54,Puerto Rico
100113,952,107815,12113,Associate's Degree,38,0.19,0.2,0.24,0.3,0.07,10008,0.66,0.34,Puerto Rico
100114,953,67735,7126,Some High School,27,0.19,0.29,0.27,0.19,0.06,73014,0.54,0.46,Puerto Rico
100115,956,170575,22417,Associate's Degree,27,0.22,0.25,0.25,0.21,0.07,79304,0.62,0.38,Puerto Rico
100116,957,90098,10315,Master's Degree,32,0.27,0.21,0.26,0.19,0.07,45680,0.45,0.55,Puerto Rico
100117,959,133089,8678,Bachelor's Degree,36,0.14,0.26,0.21,0.3,0.09,50560,0.67,0.33,Puerto Rico
100118,960,169797,20632,Master's Degree,30,0.21,0.24,0.23,0.23,0.09,1779,0.53,0.47,Puerto Rico
100119,961,163970,19010,Doctorate Degree,33,0.13,0.3,0.21,0.28,0.08,32429,0.55,0.45,Puerto Rico
100120,962,55495,5483,Doctorate Degree,24,0.3,0.18,0.23,0.23,0.06,22491,0.55,0.45,Puerto Rico
100121,965,81305,11875,Master's Degree,23,0.38,0.19,0.18,0.18,0.07,9134,0.65,0.35,Puerto Rico
100122,966,44384,4795,Some College,38,0.22,0.29,0.2,0.2,0.09,16676,0.44,0.56,Puerto Rico
100123,968,113483,9473,Some High School,30,0.24,0.25,0.27,0.18,0.06,3478,0.4,0.6,Puerto Rico
100124,969,50910,2559,Some High School,35,0.17,0.27,0.28,0.21,0.07,42219,0.46,0.54,Puerto Rico
100125,971,130097,15650,Bachelor's Degree,24,0.37,0.18,0.19,0.19,0.07,30986,0.57,0.43,Puerto Rico
100126,976,157493,18855,Some College,21,0.32,0.2,0.22,0.2,0.06,65136,0.65,0.35,Puerto Rico
100127,979,28469,3684,Master's Degree,29,0.2,0.25,0.3,0.18,0.07,17030,0.54,0.46,Puerto Rico
100128,982,44428,2764,Bachelor's Degree,28,0.13,0.27,0.27,0.26,0.07,16428,0.42,0.58,Puerto Rico
100129,983,79916,5413,Bachelor's Degree,41,0.14,0.25,0.28,0.24,0.09,39234,0.54,0.46,Puerto Rico
100130,985,135491,12504,Some High School,28,0.12,0.26,0.27,0.29,0.06,36553,0.62,0.38,Puerto Rico
100131,987,164013,19364,Doctorate Degree,36,0.12,0.26,0.26,0.28,0.08,63661,0.6,0.4,Puerto Rico
100132,1001,31748,3970,Some College,29,0.3,0.17,0.25,0.21,0.07,16769,0.46,0.54,Massachusetts
100133,1002,163617,19418,Some College,37,0.16,0.26,0.22,0.27,0.09,29049,0.57,0.43,Massachusetts
100134,1003,138278,14392,GED,23,0.3,0.21,0.23,0.18,0.08,10372,0.63,0.37,Massachusetts
100135,1005,162780,22960,Some College,30,0.16,0.29,0.17,0.3,0.08,5079,0.65,0.35,Massachusetts
100136,1007,136267,19805,Associate's Degree,40,0.18,0.22,0.27,0.24,0.09,14649,0.6,0.4,Massachusetts
100137,1008,150633,10748,Master's Degree,25,0.3,0.17,0.2,0.26,0.07,1263,0.43,0.57,Massachusetts
100138,1009,121118,12842,Associate's Degree,32,0.35,0.17,0.17,0.25,0.06,741,0.56,0.44,Massachusetts
100139,1010,136564,19745,High School Diploma,31,0.28,0.2,0.22,0.24,0.06,3609,0.45,0.55,Massachusetts
100140,1011,172005,11384,Some High School,25,0.27,0.24,0.24,0.18,0.07,1370,0.59,0.41,Massachusetts
100141,1012,152549,15412,Doctorate Degree,28,0.32,0.18,0.23,0.18,0.09,661,0.45,0.55,Massachusetts
100142,1013,97110,13728,Bachelor's Degree,25,0.22,0.23,0.22,0.25,0.08,23188,0.6,0.4,Massachusetts
100143,1020,171538,19671,Associate's Degree,28,0.25,0.18,0.29,0.2,0.08,29668,0.53,0.47,Massachusetts
100144,1022,134499,14505,Master's Degree,31,0.32,0.21,0.18,0.2,0.09,2451,0.59,0.41,Massachusetts
100145,1026,36263,5150,Doctorate Degree,35,0.24,0.18,0.25,0.25,0.08,946,0.46,0.54,Massachusetts
100146,1027,170625,12740,Some College,32,0.19,0.22,0.27,0.25,0.07,17660,0.54,0.46,Massachusetts
100147,1028,170558,9409,Some High School,29,0.17,0.28,0.28,0.2,0.07,15720,0.51,0.49,Massachusetts
100148,1029,131712,14937,Some College,26,0.27,0.25,0.24,0.18,0.06,789,0.6,0.4,Massachusetts
100149,1030,39769,2500,Bachelor's Degree,32,0.12,0.24,0.28,0.3,0.06,11669,0.63,0.37,Massachusetts
100150,1031,126575,14224,GED,35,0.2,0.22,0.2,0.3,0.08,1308,0.47,0.53,Massachusetts
100151,1032,119292,9128,Some High School,27,0.26,0.24,0.19,0.23,0.08,570,0.61,0.39,Massachusetts
100152,1033,119970,10560,Doctorate Degree,25,0.34,0.19,0.23,0.18,0.06,6227,0.46,0.54,Massachusetts
100153,1034,176218,12330,Master's Degree,35,0.25,0.22,0.17,0.3,0.06,2021,0.65,0.35,Massachusetts
100154,1035,42655,5300,High School Diploma,20,0.38,0.19,0.18,0.19,0.06,5250,0.4,0.6,Massachusetts
100155,1036,85580,6858,Bachelor's Degree,29,0.25,0.17,0.23,0.26,0.09,5109,0.43,0.57,Massachusetts
100156,1037,73514,9108,Some College,25,0.23,0.18,0.28,0.23,0.08,838,0.51,0.49,Massachusetts
100157,1038,31291,4646,GED,39,0.13,0.29,0.29,0.23,0.06,2545,0.47,0.53,Massachusetts
100158,1039,77918,10264,Some College,19,0.3,0.17,0.25,0.19,0.09,1336,0.42,0.58,Massachusetts
100159,1040,66783,8290,GED,28,0.2,0.19,0.27,0.28,0.06,39880,0.61,0.39,Massachusetts
100160,1050,64807,5474,Bachelor's Degree,28,0.21,0.28,0.25,0.17,0.09,2530,0.64,0.36,Massachusetts
100161,1053,93409,11112,Bachelor's Degree,34,0.19,0.29,0.23,0.2,0.09,1685,0.58,0.42,Massachusetts
100162,1054,46339,6047,Associate's Degree,28,0.33,0.18,0.22,0.19,0.08,1851,0.62,0.38,Massachusetts
100163,1056,166295,12747,Associate's Degree,33,0.1,0.26,0.3,0.27,0.07,21103,0.44,0.56,Massachusetts
100164,1057,113982,10266,GED,36,0.15,0.19,0.29,0.28,0.09,8534,0.67,0.33,Massachusetts
100165,1060,90638,12609,Master's Degree,28,0.14,0.25,0.3,0.23,0.08,15284,0.62,0.38,Massachusetts
100166,1062,138602,16986,Bachelor's Degree,20,0.24,0.23,0.26,0.21,0.06,11150,0.48,0.52,Massachusetts
100167,1063,67448,7581,Bachelor's Degree,34,0.12,0.3,0.24,0.28,0.06,430,0.65,0.35,Massachusetts
100168,1066,70333,10343,GED,28,0.26,0.2,0.23,0.25,0.06,64,0.63,0.37,Massachusetts
100169,1068,141727,8816,Some High School,27,0.34,0.18,0.24,0.17,0.07,1902,0.53,0.47,Massachusetts
100170,1069,101502,10391,Master's Degree,32,0.32,0.25,0.18,0.18,0.07,8469,0.61,0.39,Massachusetts
100171,1070,97901,11917,Some College,36,0.26,0.19,0.2,0.28,0.07,629,0.46,0.54,Massachusetts
100172,1071,126561,15183,Some College,32,0.24,0.25,0.17,0.27,0.07,1596,0.47,0.53,Massachusetts
100173,1072,163257,14979,Bachelor's Degree,34,0.24,0.17,0.26,0.27,0.06,1478,0.43,0.57,Massachusetts
100174,1073,151782,22228,Some High School,28,0.3,0.18,0.26,0.18,0.08,5792,0.64,0.36,Massachusetts
100175,1074,91482,10769,Master's Degree,31,0.26,0.21,0.26,0.21,0.06,319,0.6,0.4,Massachusetts
100176,1075,152760,22785,High School Diploma,23,0.23,0.27,0.23,0.18,0.09,17527,0.47,0.53,Massachusetts
100177,1077,157505,20286,High School Diploma,33,0.23,0.23,0.3,0.18,0.06,9502,0.61,0.39,Massachusetts
100178,1079,120885,12587,Doctorate Degree,37,0.28,0.27,0.19,0.17,0.09,692,0.63,0.37,Massachusetts
100179,1080,165800,13591,Master's Degree,35,0.07,0.27,0.3,0.28,0.08,2334,0.58,0.42,Massachusetts
100180,1081,58715,7592,Bachelor's Degree,26,0.29,0.17,0.23,0.22,0.09,1698,0.57,0.43,Massachusetts
100181,1082,125930,6629,Doctorate Degree,33,0.21,0.27,0.19,0.25,0.08,10322,0.47,0.53,Massachusetts
100182,1083,84410,4362,GED,38,0.3,0.27,0.2,0.17,0.06,2888,0.52,0.48,Massachusetts
100183,1084,37365,3203,Associate's Degree,24,0.19,0.27,0.22,0.23,0.09,176,0.52,0.48,Massachusetts
100184,1085,109141,8423,Associate's Degree,16,0.28,0.23,0.21,0.22,0.06,41117,0.63,0.37,Massachusetts
100185,1086,56514,8135,Doctorate Degree,33,0.17,0.25,0.23,0.28,0.07,687,0.46,0.54,Massachusetts
100186,1088,158892,21809,Master's Degree,26,0.15,0.22,0.29,0.27,0.07,670,0.49,0.51,Massachusetts
100187,1089,33701,1842,Some High School,29,0.14,0.27,0.26,0.24,0.09,28391,0.6,0.4,Massachusetts
100188,1092,175716,23908,Some High School,31,0.27,0.17,0.2,0.27,0.09,1394,0.62,0.38,Massachusetts
100189,1093,65883,7596,High School Diploma,35,0.23,0.17,0.23,0.3,0.07,325,0.53,0.47,Massachusetts
100190,1094,47525,3274,Associate's Degree,35,0.17,0.29,0.29,0.17,0.08,351,0.59,0.41,Massachusetts
100191,1095,74509,8770,Doctorate Degree,29,0.22,0.27,0.25,0.19,0.07,14319,0.58,0.42,Massachusetts
100192,1096,87940,10243,Bachelor's Degree,27,0.2,0.18,0.27,0.26,0.09,2217,0.63,0.37,Massachusetts
100193,1097,34015,4997,Some College,38,0.26,0.28,0.17,0.23,0.06,111,0.46,0.54,Massachusetts
100194,1098,109321,15457,Bachelor's Degree,24,0.23,0.25,0.25,0.2,0.07,1101,0.41,0.59,Massachusetts
100195,1103,75244,6565,Some High School,23,0.19,0.3,0.24,0.21,0.06,2479,0.48,0.52,Massachusetts
100196,1104,121923,17458,Some High School,37,0.17,0.22,0.23,0.29,0.09,22865,0.6,0.4,Massachusetts
100197,1105,97166,10996,GED,31,0.29,0.27,0.17,0.18,0.09,12350,0.65,0.35,Massachusetts
100198,1106,155218,16636,High School Diploma,26,0.35,0.22,0.17,0.18,0.08,16021,0.57,0.43,Massachusetts
100199,1107,31562,3790,Doctorate Degree,27,0.15,0.27,0.21,0.28,0.09,11611,0.57,0.43,Massachusetts
100200,1108,83178,8805,High School Diploma,37,0.24,0.2,0.2,0.3,0.06,26688,0.45,0.55,Massachusetts
100201,1109,104350,7994,Some College,27,0.24,0.3,0.18,0.2,0.08,30250,0.53,0.47,Massachusetts
100202,1118,34194,4040,Some College,35,0.27,0.19,0.21,0.24,0.09,14071,0.53,0.47,Massachusetts
100203,1119,140366,11491,Some High School,21,0.28,0.17,0.22,0.26,0.07,14152,0.6,0.4,Massachusetts
100204,1128,95007,9871,Associate's Degree,24,0.19,0.3,0.18,0.27,0.06,2631,0.67,0.33,Massachusetts
100205,1129,151699,16897,Doctorate Degree,42,0.06,0.27,0.3,0.28,0.09,7019,0.51,0.49,Massachusetts
100206,1151,124123,9993,Some High School,35,0.18,0.26,0.29,0.18,0.09,8698,0.51,0.49,Massachusetts
100207,1199,140322,13228,Some High School,34,0.3,0.27,0.18,0.18,0.07,24,0.46,0.54,Massachusetts
100208,1201,103167,8586,GED,40,0.18,0.24,0.3,0.21,0.07,46504,0.46,0.54,Massachusetts
100209,1220,155628,15887,Some High School,32,0.24,0.29,0.22,0.17,0.08,8603,0.47,0.53,Massachusetts
100210,1222,61582,6399,Bachelor's Degree,25,0.35,0.17,0.19,0.21,0.08,829,0.42,0.58,Massachusetts
100211,1223,117397,6673,High School Diploma,29,0.23,0.25,0.27,0.17,0.08,2314,0.63,0.37,Massachusetts
100212,1224,163026,22753,Bachelor's Degree,25,0.17,0.27,0.28,0.19,0.09,182,0.5,0.5,Massachusetts
100213,1225,51738,5800,Doctorate Degree,32,0.22,0.26,0.22,0.24,0.06,3117,0.45,0.55,Massachusetts
100214,1226,85377,7495,Bachelor's Degree,37,0.24,0.29,0.2,0.18,0.09,6945,0.62,0.38,Massachusetts
100215,1229,126711,13146,Associate's Degree,28,0.16,0.28,0.26,0.24,0.06,95,0.6,0.4,Massachusetts
100216,1230,107232,13279,Some College,25,0.37,0.2,0.17,0.2,0.06,8430,0.61,0.39,Massachusetts
100217,1235,105223,8103,High School Diploma,30,0.23,0.27,0.23,0.18,0.09,2766,0.62,0.38,Massachusetts
100218,1236,141717,14002,GED,30,0.15,0.29,0.17,0.3,0.09,1509,0.44,0.56,Massachusetts
100219,1237,144912,14565,Some High School,20,0.29,0.22,0.22,0.2,0.07,2496,0.42,0.58,Massachusetts
100220,1238,91107,6566,Master's Degree,34,0.18,0.23,0.23,0.27,0.09,6047,0.54,0.46,Massachusetts
100221,1240,113945,12508,Associate's Degree,32,0.13,0.29,0.24,0.26,0.08,4534,0.61,0.39,Massachusetts
100222,1242,98218,13669,GED,29,0.22,0.3,0.2,0.2,0.08,476,0.6,0.4,Massachusetts
100223,1243,106393,7584,GED,39,0.19,0.19,0.3,0.26,0.06,334,0.66,0.34,Massachusetts
100224,1244,68204,5298,Master's Degree,39,0.24,0.22,0.28,0.19,0.07,151,0.46,0.54,Massachusetts
100225,1245,40535,2093,Some College,27,0.15,0.29,0.25,0.23,0.08,985,0.42,0.58,Massachusetts
100226,1247,55565,4285,Master's Degree,25,0.28,0.18,0.22,0.26,0.06,16087,0.64,0.36,Massachusetts
100227,1253,119821,9192,Master's Degree,26,0.12,0.26,0.28,0.25,0.09,731,0.63,0.37,Massachusetts
100228,1254,154485,20229,Bachelor's Degree,27,0.32,0.21,0.18,0.23,0.06,972,0.46,0.54,Massachusetts
100229,1255,55278,5094,Some High School,22,0.29,0.2,0.21,0.23,0.07,915,0.52,0.48,Massachusetts
100230,1256,70321,10444,Some College,31,0.15,0.23,0.24,0.29,0.09,692,0.56,0.44,Massachusetts
100231,1257,168357,16385,Bachelor's Degree,29,0.3,0.17,0.19,0.25,0.09,2121,0.42,0.58,Massachusetts
100232,1258,156661,13671,Doctorate Degree,31,0.17,0.26,0.22,0.28,0.07,374,0.49,0.51,Massachusetts
100233,1259,133352,18538,Master's Degree,33,0.33,0.22,0.17,0.2,0.08,635,0.59,0.41,Massachusetts
100234,1260,85786,6868,Bachelor's Degree,30,0.26,0.26,0.18,0.23,0.07,240,0.65,0.35,Massachusetts
100235,1262,140201,16904,GED,29,0.23,0.21,0.25,0.23,0.08,1238,0.57,0.43,Massachusetts
100236,1264,34395,3721,Bachelor's Degree,34,0.24,0.21,0.29,0.18,0.08,137,0.6,0.4,Massachusetts
