ID,Customer ID,Age,Gender,State,Annual Income,Annual Disposal,Education Level,Zip Code
1322,CB002322,27,Female,New Mexico,33000,1980,Bachelor's Degree,88255
98,CB001098,22,Male,New Jersey,11000,770,Some College,7203
1408,CB002408,20,Male,Alaska,8200,738,Some High School,99656
1002,CB002002,19,Female,Arizona,2200,88,GED,85201
360,CB001360,29,Male,Louisiana,46000,1380,Bachelor's Degree,71075
141,CB001141,43,Male,Nebraska,130000,10400,Associate's Degree,68128
268,CB001268,19,Male,Michigan,2600,104,GED,49249
901,CB001901,38,Male,Illinois,80000,4800,High School Diploma,61753
1062,CB002062,43,Male,New Mexico,130000,5200,Master's Degree,88046
581,CB001581,29,Male,Wisconsin,35000,3150,Some High School,54984
108,CB001108,29,Female,Wisconsin,43000,2580,High School Diploma,54614
1330,CB002330,16,Male,,1300,91,,44143
459,CB001459,26,Female,Kentucky,48000,2400,Associate's Degree,40906
877,CB001877,42,Male,California,150000,10500,Master's Degree,92861
740,CB001740,47,Male,Missouri,110000,8800,Some High School,65264
1111,CB002111,28,Male,Illinois,49000,3430,High School Diploma,61462
713,CB001713,18,Male,Tennessee,2700,108,,37186
1101,CB002101,45,Male,Illinois,110000,8800,Associate's Degree,61008
1193,CB002193,47,Male,Idaho,,6500,Some College,83647
377,CB001377,31,Male,Missouri,34000,1020,GED,65803
132,CB001132,30,Female,Ohio,33000,2310,,44026
807,CB001807,18,Female,South Carolina,4500,135,,29377
1484,CB002484,29,Male,West Virginia,45000,4050,GED,24934
28,CB001028,34,Other,Ohio,45000,2700,,44090
220,CB001220,44,Male,Illinois,130000,7800,Some College,60146
1463,CB002463,40,Female,Arkansas,150000,13500,Bachelor's Degree,72855
1374,CB002374,22,Female,New York,15000,750,High School Diploma,11977
122,CB001122,42,Female,California,140000,5600,Some College,95930
548,CB001548,32,Male,Arizona,31000,1240,High School Diploma,85032
1433,CB002433,28,Male,California,32000,2240,High School Diploma,95675
646,CB001646,44,Male,Colorado,110000,4400,Bachelor's Degree,80516
1483,CB002483,48,Female,West Virginia,120000,8400,Associate's Degree,24898
900,CB001900,29,Male,Hawaii,31000,1860,High School Diploma,96783
1144,CB002144,22,Male,Kentucky,22000,,Some College,42206
716,CB001716,45,Male,California,140000,12600,Some College,95497
1188,CB002188,28,Female,New Hampshire,35000,3150,Master's Degree,3833
899,CB001899,30,Other,Ohio,34000,2040,High School Diploma,43845
203,CB001203,27,Male,Florida,42000,3780,Some High School,33478
476,CB001476,48,Female,Virginia,140000,7000,Master's Degree,24540
505,CB001505,38,Other,West Virginia,85000,7650,,25304
139,CB001139,22,Male,Minnesota,18000,720,Associate's Degree,56120
738,CB001738,28,Female,Maine,40000,1600,Some College,4922
926,CB001926,29,Gender,Utah,43000,2580,GED,84062
1052,CB002052,35,Male,Vermont,97000,8730,High School Diploma,5765
525,CB001525,41,Male,Texas,150000,9000,Master's Degree,79119
1340,CB002340,35,Male,California,93000,4650,Master's Degree,92807
745,CB001745,40,Male,Pennsylvania,120000,7200,Some High School,17093
1264,CB002264,16,Other,Arizona,500,25,,85357
327,CB001327,21,Male,California,19000,1520,GED,96109
976,CB001976,38,Other,Illinois,100000,7000,Bachelor's Degree,62951
1012,CB002012,39,Male,Kansas,52000,2080,Some College,67730
462,CB001462,,Other,Alaska,47000,4230,High School Diploma,99585
414,CB001414,41,Male,Ohio,130000,5200,Master's Degree,44815
1443,CB002443,18,Female,Hawaii,3100,124,GED,96770
856,CB001856,20,Female,Michigan,9700,776,,49861
1347,CB002347,36,Male,Louisiana,98000,7840,Some High School,71414
50,CB001050,170,Male,Michigan,33000,2310,Master's Degree,49705
705,CB001705,29,Male,South Carolina,29000,870,GED,29108
712,CB001712,40,Female,Wisconsin,140000,7000,Some High School,54007
333,CB001333,39,Male,Pennsylvania,72000,3600,Some High School,16510
140,CB001140,20,Male,Kentucky,5500,495,High School Diploma,42040
728,CB001728,16,Female,Florida,830,66,,33585
1362,CB002362,29,Male,Missouri,44000,2640,Master's Degree,63535
938,CB001938,35,Male,Georgia,72000,5760,GED,30650
1336,CB002336,45,Male,Ohio,140000,7000,Some High School,45115
852,CB001852,41,Male,North Carolina,140000,5600,High School Diploma,27925
221,CB001221,35,Female,Florida,60000,1800,Master's Degree,34769
625,CB001625,19,Female,New Mexico,4700,423,High School Diploma,87533
837,CB001837,28,Female,New Jersey,46000,2760,Bachelor's Degree,7712
429,CB001429,16,Other,Missouri,220,9,,64645
560,CB001560,28,Male,Georgia,30000,1500,Some High School,31805
460,CB001460,44,Female,Michigan,150000,9000,Some College,48157
1389,CB002389,41,Male,North Dakota,140000,7000,Some High School,58421
114,CB001114,39,Male,Wisconsin,79000,6320,Bachelor's Degree,53716
652,CB001652,37,Male,Georgia,59000,2950,Some College,30576
1295,CB002295,39,Male,Minnesota,99000,4950,Some College,56623
335,CB001335,45,Female,Rhode Island,120000,8400,Bachelor's Degree,2915
816,CB001816,17,Male,California,1200,72,High School Diploma,95672
71,CB001071,42,Male,Texas,120000,10800,High School Diploma,78664
39,CB001039,31,Male,Florida,36000,1080,Bachelor's Degree,32771
963,CB001963,31,Female,,34000,2040,GED,55711
124,CB001124,43,Male,South Dakota,130000,9100,Master's Degree,57625
257,CB001257,27,Male,Arizona,31000,930,Master's Degree,85373
694,CB001694,45,Female,Minnesota,150000,6000,Bachelor's Degree,55965
894,CB001894,21,Female,Iowa,18000,1440,Associate's Degree,52042
248,CB001248,27,Male,Louisiana,43000,2150,Some College,70773
527,CB001527,30,Female,Washington,40000,3200,Some High School,98354
872,CB001872,18,Female,Washington,3300,99,High School Diploma,99029
320,CB001320,16,Male,New York,1700,68,,14802
202,CB001202,23,Female,California,24000,960,Associate's Degree,93036
1450,CB002450,29,Female,Nevada,26000,780,Bachelor's Degree,89138
36,CB001036,39,Female,Iowa,66000,4620,Some College,51038
64,CB001064,38,Other,South Dakota,95000,6650,High School Diploma,57748
229,CB001229,39,Male,Wisconsin,84000,7560,Some High School,53928
889,CB001889,39,Male,Michigan,85000,3400,High School Diploma,48206
1496,CB002496,27,Female,Indiana,42000,1260,Master's Degree,46045
1428,CB002428,46,Female,Florida,120000,6000,GED,34240
868,CB001868,31,Female,New York,37000,1850,Bachelor's Degree,10014
1123,CB002123,,Male,Vermont,87000,4350,Associate's Degree,5734
779,CB001779,44,Male,Illinois,130000,5200,Master's Degree,62320
1363,CB002363,23,Male,Virginia,21000,840,Some High School,23505
675,CB001675,38,Male,Pennsylvania,85000,5100,Bachelor's Degree,19118
112,CB001112,39,Male,Oregon,71000,4260,Some College,97636
432,CB001432,31,Female,Virginia,43000,3870,Some College,23125
533,CB001533,43,Male,Texas,120000,8400,High School Diploma,79021
1397,CB002397,28,Other,North Carolina,33000,2310,High School Diploma,28590
386,CB001386,47,Male,Washington,130000,6500,Some College,99152
51,CB001051,19,Female,Washington,3100,217,High School Diploma,98164
41,CB001041,19,Other,California,3100,155,,93634
1071,CB002071,24,Female,Arizona,25000,1250,High School Diploma,86351
759,CB001759,16,Male,Mississippi,1200,96,,38703
6,CB001006,26,Female,Massachusetts,27000,2160,High School Diploma,2108
1310,CB002310,36,Female,Tennessee,50000,4500,Master's Degree,37212
821,CB001821,38,Male,Arkansas,83000,2490,Bachelor's Degree,72687
810,CB001810,41,Male,Louisiana,140000,9800,Bachelor's Degree,70444
347,CB001347,41,Other,Nebraska,120000,10800,GED,69038
210,CB001210,47,Male,Georgia,120000,7200,Some College,30149
144,CB001144,34,Female,North Carolina,47000,-3,Bachelor's Degree,28562
1500,CB002500,22,Male,Kentucky,23000,920,GED,41544
1180,CB002180,48,Female,Utah,150000,12000,Some College,84540
692,CB001692,-45,Female,California,28000,1960,Associate's Degree,92007
1332,CB002332,29,Male,California,28000,1400,Master's Degree,95670
943,CB001943,29,Male,Utah,47000,3290,Master's Degree,84109
18,CB001018,43,Other,Illinois,130000,5200,Some High School,61438
1198,CB002198,46,Other,Minnesota,120000,6000,High School Diploma,55933
305,CB001305,30,Male,New Jersey,35000,1400,Some College,8011
178,CB001178,30,Female,Arkansas,40000,3200,Associate's Degree,71659
1481,CB002481,33,Male,South Dakota,40000,2000,Associate's Degree,57718
107,CB001107,24,Male,New York,14000,560,Bachelor's Degree,13624
557,CB001557,19,Male,New York,3300,132,High School Diploma,14813
379,CB001379,22,Male,New York,12000,1080,Some College,13685
772,CB001772,45,Other,Illinois,150000,13500,Some College,61012
1442,CB002442,23,Male,North Dakota,18000,540,High School Diploma,58561
1270,CB002270,27,Male,Iowa,40000,3200,Master's Degree,50626
1353,CB002353,31,Male,West Virginia,32000,2880,GED,25030
887,CB001887,37,Male,South Dakota,60000,4800,Master's Degree,57633
177,CB001177,17,Female,Tennessee,180,5,GED,38104
1051,CB002051,20,Male,South Dakota,5600,168,GED,57311
915,CB001915,34,Male,California,28000,1680,Master's Degree,95653
605,CB001605,46,Male,Oklahoma,120000,10800,Some College,73132
1225,CB002225,16,Female,Ohio,2000,160,,43805
1014,CB002014,230,Female,Maryland,28000,1120,Some College,21541
388,CB001388,23,Female,Virginia,15000,450,Associate's Degree,23829
651,CB001651,30,Female,Florida,26000,1040,Bachelor's Degree,33145
493,CB001493,16,Male,North Carolina,1900,152,,28023
209,CB001209,37,Female,Washington,74000,2220,Associate's Degree,98862
1149,CB002149,44,Male,Nebraska,120000,8400,Some High School,68362
455,CB001455,31,Female,Montana,35000,1400,Associate's Degree,59643
184,CB001184,37,Other,Ohio,64000,2560,Master's Degree,45660
935,CB001935,38,Female,Colorado,87000,6960,GED,80902
1402,CB002402,44,Male,West Virginia,110000,4400,Some High School,25164
3,CB001003,19,Male,Arkansas,3300,297,GED,72442
1132,CB002132,36,Male,Pennsylvania,88000,7920,GED,17023
291,CB001291,25,Male,New Jersey,44000,2640,Some College,8223
1087,CB002087,43,Other,,120000,10800,Some High School,97338
16,CB001016,32,Male,New Hampshire,33000,990,GED,3740
145,CB001145,16,Male,Ohio,1000,60,,44133
663,CB001663,17,Female,Pennsylvania,1400,112,,17070
1167,CB002167,48,Female,Iowa,130000,6500,Associate's Degree,50594
289,CB001289,19,Other,Michigan,3600,216,GED,49817
942,CB001942,45,Male,Oregon,130000,3900,High School Diploma,97868
1440,CB002440,43,Male,South Dakota,110000,3300,Some College,57329
1151,CB002151,36,Female,Utah,63000,3780,Some High School,84731
367,CB001367,16,Male,Virginia,1300,104,,24656
758,CB001758,23,Male,Washington,12000,480,High School Diploma,98642
403,CB001403,47,Other,Kentucky,110000,9900,Some College,42003
941,CB001941,20,Female,Tennessee,9100,273,GED,38315
523,CB001523,20,Female,Idaho,9200,460,High School Diploma,83552
1370,CB002370,33,Male,Arkansas,35000,2100,High School Diploma,71999
1153,CB002153,25,Male,Michigan,39000,2340,Master's Degree,49235
264,CB001264,25,Male,Nebraska,33000,2310,Some College,68653
1287,CB002287,45,Male,Texas,140000,7000,High School Diploma,77984
296,CB001296,41,Male,New York,130000,6500,Some College,13478
717,CB001717,30,Male,,48000,1920,Master's Degree,75093
500,CB001500,40,Male,California,140000,5600,GED,95228
536,CB001536,24,Female,Texas,21000,1470,Some High School,77073
1133,CB002133,24,Male,Kansas,15000,900,Some College,66857
1156,CB002156,48,Male,Washington,140000,12600,High School Diploma,98568
811,CB001811,36,Female,Virginia,90000,8100,Associate's Degree,22553
477,CB001477,19,Male,Nebraska,,190,GED,68843
972,CB001972,46,Male,Vermont,140000,9800,Bachelor's Degree,5474
741,CB001741,39,Male,North Carolina,57000,5130,Master's Degree,28203
153,CB001153,25,Male,Texas,34000,1700,Some High School,77378
846,CB001846,23,Female,New Jersey,18000,1080,Bachelor's Degree,8750
410,CB001410,35,Female,Texas,54000,3780,Some High School,79093
442,CB001442,19,Other,Ohio,2700,216,GED,44420
1383,CB002383,16,Female,Illinois,660,20,,61956
833,CB001833,44,Male,South Dakota,100000,3000,Master's Degree,57358
364,CB001364,41,Female,Iowa,150000,9000,High School Diploma,50050
355,CB001355,23,Male,Washington,17000,680,High School Diploma,98831
453,CB001453,16,Female,Kentucky,480,29,,42349
957,CB001957,36,Male,Montana,69000,4830,High School Diploma,59019
990,CB001990,42,Other,Idaho,110000,6600,Associate's Degree,83676
448,CB001448,17,Female,Indiana,1800,144,Some High School,47229
1466,CB002466,24,Male,Minnesota,18000,900,GED,56171
174,CB001174,31,Other,Kansas,40000,1200,GED,66401
539,CB001539,27,Male,New Jersey,43000,3870,High School Diploma,7730
1317,CB002317,34,Female,Texas,26000,2080,Some High School,75862
1298,CB002298,44,Male,Illinois,130000,6500,Bachelor's Degree,60957
276,CB001276,19,Male,Missouri,0.05,210,,64457
1453,CB002453,31,Male,North Carolina,45000,1350,Associate's Degree,27312
1171,CB002171,33,Male,North Carolina,44000,3520,GED,27953
1361,CB002361,22,Other,Idaho,12000,960,High School Diploma,83554
1314,CB002314,31,Male,Oklahoma,27000,1890,Some High School,73030
994,CB001994,36,Female,Delaware,,6030,Some College,19706
612,CB001612,19,Female,Texas,2500,75,,78728
1090,CB002090,48,Female,Texas,110000,5500,GED,79110
1129,CB002129,20,Male,West Virginia,9600,864,,24874
1448,CB002448,18,Male,Missouri,5000,150,,63045
617,CB001617,36,Male,Oklahoma,58000,4060,Some College,74352
138,CB001138,47,Male,Maine,140000,7000,Some High School,4454
311,CB001311,41,Female,Nebraska,140000,9800,Bachelor's Degree,68448
1165,CB002165,16,Male,Texas,2000,140,,79519
905,CB001905,19,Male,Alabama,4000,200,,35173
641,CB001641,20,Female,Minnesota,9500,665,GED,55125
698,CB001698,31,Female,Texas,37000,2960,Master's Degree,78613
1236,CB002236,25,Male,North Dakota,36000,1080,High School Diploma,58442
336,CB001336,34,Female,Arkansas,39000,1950,,72732
45,CB001045,42,Female,Kentucky,120000,4800,Associate's Degree,41537
961,CB001961,44,Male,Vermont,130000,10400,Some College,5492
393,CB001393,40,Female,Idaho,120000,4800,Associate's Degree,83848
1299,CB002299,34,Female,Oregon,28000,1960,Master's Degree,97419
975,CB001975,35,Male,New York,51000,3570,Bachelor's Degree,11572
541,CB001541,20,Male,Maryland,8100,729,High School Diploma,20626
1355,CB002355,16,Male,Texas,1300,65,,77562
674,CB001674,43,Male,Mississippi,130000,3900,GED,39771
1137,CB002137,35,Other,Virgin!a,70000,2800,Bachelor's Degree,23062
1135,CB002135,27,Male,Mississippi,45000,2700,Some High School,38865
1286,CB002286,27,Female,Florida,41000,1230,Some College,34216
422,CB001422,18,Female,West Virginia,4400,308,High School Diploma,24818
167,CB001167,33,Female,Mississippi,31000,2170,Some High School,38851
1248,CB002248,43,Male,Kentucky,130000,11700,High School Diploma,42366
337,CB001337,18,Male,Tennessee,4600,322,High School Diploma,37412
1081,CB002081,20,Male,New York,9000,720,Some College,14760
701,CB001701,31,Male,Utah,44000,3520,GED,84723
648,CB001648,21,Male,Ohio,12000,1080,GED,43950
259,CB001259,25,Male,Missouri,27000,810,Associate's Degree,64109
396,CB001396,48,Male,Idaho,120000,10800,Associate's Degree,83353
514,CB001514,27,Female,California,41000,2460,Bachelor's Degree,94937
914,CB001914,25,Female,Pennsylvania,26000,780,Bachelor's Degree,15761
944,CB001944,16,,Utah,1200,72,,84315
195,CB001195,40,Male,Ohio,130000,9100,Some College,44815
206,CB001206,39,Female,West Virginia,71000,4970,Bachelor's Degree,25688
430,CB001430,33,Female,Oklahoma,32000,2240,Associate's Degree,73768
1285,CB002285,30,Male,Texas,49000,1470,Associate's Degree,78561
89,CB001089,17,Male,Ohio,1300,117,,43109
747,CB001747,43,Female,Washington,150000,9000,GED,98665
594,CB001594,40,Male,Connecticut,150000,10500,Master's Degree,6708
564,CB001564,46,Male,Michigan,110000,6600,Associate's Degree,49839
151,CB001151,29,Male,West Virginia,36000,1080,Bachelor's Degree,24716
481,CB001481,45,Male,Pennsylvania,100000,6000,Master's Degree,16941
661,CB001661,30,Female,Oregon,38000,1140,Master's Degree,97426
1259,CB002259,43,Other,Wisconsin,120000,7200,High School Diploma,53556
1414,CB002414,23,Male,Maine,12000,840,Some High School,4024
345,CB001345,36,Male,California,64000,5760,Bachelor's Degree,95573
1187,CB002187,45,Female,Ohio,130000,3900,GED,43723
686,CB001686,23,Female,Illinois,16000,800,Associate's Degree,61815
102,CB001102,40,Other,Nebraska,120000,3600,Bachelor's Degree,68463
1154,CB002154,20,Female,Virginia,8200,246,Some High School,23180
383,CB001383,48,Male,North Carolina,110000,8800,Some High School,28079
339,CB001339,19,Male,Georgia,2800,112,Some High School,31076
796,CB001796,40,Male,Illinois,110000,8800,GED,60406
951,CB001951,39,Female,Pennsylvania,96000,7680,GED,17562
509,CB001509,20,Male,Florida,9500,855,GED,33809
232,CB001232,47,Male,Maryland,140000,9800,Associate's Degree,21814
185,CB001185,24,Female,Illinois,18000,900,High School Diploma,61451
858,CB001858,33,Male,Illinois,36000,2160,,61314
1431,CB002431,38,Male,South Carolina,98000,5880,Some High School,29150
4,CB001004,46,Female,Pennsylvania,130000,7800,Bachelor's Degree,15458
731,CB001731,44,Female,Missouri,130000,11700,Associate's Degree,65039
1240,CB002240,34,Female,Massachusetts,30000,2400,High School Diploma,2723
1307,CB002307,32,Female,Michigan,38000,3040,Some High School,48837
1291,CB002291,42,Male,New York,100000,9000,GEEEEEDDD,13826
304,CB001304,16,Male,Indiana,270,19,,47868
27,CB001027,47,Male,New Jersey,110000,4400,Bachelor's Degree,8805
1495,CB002495,30,Female,Mississippi,43000,1720,High School Diploma,39367
932,CB001932,21,Male,West Virginia,22000,1980,Some High School,26141
1073,CB002073,22,Female,Texas,15000,1050,Bachelor's Degree,77657
111,CB001111,40,Male,Ohio,120000,7200,High School Diploma,45648
912,CB001912,31,Male,Illinois,47000,3760,,61072
1126,CB002126,44,Male,South Dakota,120000,7200,GED,57770
258,CB001258,46,Male,Arkansas,120000,10800,High School Diploma,72014
1055,CB002055,43,Male,Kansas,120000,10800,Some High School,67142
166,CB001166,16,Male,Unkown,610,55,,55424
845,CB001845,31,Male,Ohio,35000,1400,GED,44417
1146,CB002146,18,Female,Washington,2700,162,,98362
66,CB001066,35,Male,North Dakota,70000,2100,Master's Degree,58472
1091,CB002091,38,Male,Iowa,57000,3420,GED,50317
297,CB001297,41,Female,Montana,150000,10500,Some College,59918
550,CB001550,24,Female,Michigan,18000,1080,Some College,49677
1294,CB002294,17,Male,Maine,860,77,GED,4444
366,CB001366,29,Other,Nebraska,45000,1800,Some High School,69138
158,CB001158,48,Male,Illinois,130000,10400,Some High School,60536
299,CB001299,30,Male,Montana,44000,2640,Some High School,59722
973,CB001973,17,Male,Vermont,290,12,Some High School,5038
266,CB001266,16,Female,Minnesota,950,67,,56520
1016,CB002016,16,Female,California,260,13,,92310
23,CB001023,44,Female,New York,110000,8800,Bachelor's Degree,10306
637,CB001637,23,Female,Texas,23000,1150,High School Diploma,75562
465,CB001465,27,Female,California,32000,2880,Bachelor's Degree,90280
287,CB001287,19,Male,Georgia,2800,84,High School Diploma,31093
1316,CB002316,16,Male,Georgia,370,22,,30108
778,CB001778,46,Male,Missouri,150000,6000,High School Diploma,65501
1398,CB002398,25,Male,Virginia,49000,1960,Some College,22124
997,CB001997,23,Male,Ohio,13000,1040,Associate's Degree,45899
689,CB001689,24,Male,Colorado,17000,510,Bachelor's Degree,80601
5,CB001005,19,Female,New York,3600,288,High School Diploma,11720
1438,CB002438,27,Male,Illinois,40000,3200,Some College,62901
1400,CB002400,45,Male,Louisiana,150000,6000,High School Diploma,71345
284,CB001284,23,Female,Pennsylvania,21000,1470,Associate's Degree,18657
1445,CB002445,19,Female,Minnesota,4600,276,,56663
1304,CB002304,18,Female,Iowa,4100,246,,51022
216,CB001216,34,Female,Oklahoma,38000,1900,Education unknown,73840
621,CB001621,43,Male,New York,140000,9800,Some High School,12833
919,CB001919,,Other,California,41000,2460,Some High School,94087
1273,CB002273,26,Male,Kansas,27000,2160,High School Diploma,67576
1335,CB002335,18,Female,Texas,5000,400,Some High School,77861
834,CB001834,22,Male,Nevada,10000,300,Bachelor's Degree,89122
585,CB001585,44,Male,Massachusetts,120000,7200,Bachelor's Degree,2025
11,CB001011,34,Other,Georgia,50000,1500,,30145
356,CB001356,43,Female,Kansas,100000,9000,Master's Degree,66833
965,CB001965,35,Female,Ohio,96000,2880,Some High School,45132
504,CB001504,39,Female,Louisiana,69000,2070,Doctorate Degree,71301
1246,CB002246,29,Female,Kentucky,46000,3680,Master's Degree,41501
619,CB001619,47,Female,Washington,100000,8000,Some High School,99012
1197,CB002197,30,Female,California,27000,1350,GED,93653
1244,CB002244,33,Female,Texas,35000,2800,Associate's Degree,75422
1227,CB002227,38,Other,Michigan,59000,3540,Bachelor's Degree,48433
1491,CB002491,19,,Georgia,3100,124,GED,30060
33,CB001033,38,Female,North Carolina,72000,4320,Some High School,28032
777,CB001777,19,Male,Montana,4900,343,education,59064
752,CB001752,41,Male,New York,150000,10500,Associate's Degree,13606
597,CB001597,28,Female,Washington,28000,2240,Some High School,98012
1121,CB002121,33,Female,New York,26000,1300,Associate's Degree,12036
441,CB001441,31,Male,Ohio,40000,2000,High School Diploma,43942
1457,CB002457,34,Other,Arizona,38000,3040,,85551
522,CB001522,37,Female,Ohio,57000,5130,Doctorate Degree,43110
263,CB001263,33,Male,Oklahoma,31000,2170,Some College,73505
633,CB001633,27,Male,Vermont,28000,1680,Some High School,5068
142,CB001142,43,Male,Texas,130000,10400,Master's Degree,76557
499,CB001499,46,Male,North Dakota,110000,5500,Some College,58353
1328,CB002328,29,Other,Kansas,46000,3680,Some High School,67226
261,CB001261,35,Male,California,52000,2600,Some High School,91905
1454,CB002454,44,Female,Nebraska,100000,7000,High School Diploma,68332
910,CB001910,47,Male,Illinois,140000,5600,Master's Degree,61524
1324,CB002324,43,Male,Pennsylvania,120000,6000,Bachelor's Degree,16511
182,CB001182,,Female,Arizona,6000,420,,86432
1313,CB002313,41,Female,California,110000,5500,High School Diploma,90680
2,CB001002,30,Male,Missouri,49000,1470,Some College,63073
751,CB001751,41,Female,New Hampshire,140000,4200,Master's Degree,3832
1261,CB002261,33,Female,Virginia,40000,2000,Some High School,22079
699,CB001699,35,Female,Maryland,69000,3450,Associate's Degree,21797
819,CB001819,46,Male,Georgia,140000,9800,Some High School,30458
1377,CB002377,31,Other,California,48000,,Associate's Degree,93261
1163,CB002163,42,Male,Washington,130000,10400,GED,99301
1385,CB002385,26,Male,Arizona,42000,3780,Master's Degree,86314
623,CB001623,39,Male,New Mexico,89000,3560,Some High School,87321
417,CB001417,24,Male,Nebraska,22000,1320,High School Diploma,68946
851,CB001851,22,Female,New York,21000,1680,Associate's Degree,14808
1064,CB002064,35,Other,Indiana,52000,4680,Some High School,47905
945,CB001945,37,Female,West Virginia,93000,8370,Some College,26534
980,CB001980,45,Male,Mississippi,120000,7200,Bachelor's Degree,39426
194,CB001194,30,Female,Florida,49000,3430,High School Diploma,33014
217,CB001217,21,Male,Oregon,14000,840,Associate's Degree,97865
863,CB001863,26,Other,Iowa,25000,2250,High School Diploma,50669
315,CB001315,22,Male,New York,16000,800,Associate's Degree,10580
885,CB001885,25,Male,Tennessee,43000,2150,GED,37377
1032,CB002032,42,Female,Michigan,110000,3300,Associate's Degree,48661
829,CB001829,33,Female,Missouri,,1550,Associate's Degree,65692
351,CB001351,40,Female,Arkansas,110000,9900,Bachelor's Degree,72539
322,CB001322,18,Female,Michigan,2500,100,GED,49240
804,CB001804,21,Female,West Virginia,19000,1710,Some High School,26152
1250,CB002250,42,Female,Arkansas,140000,4200,Some College,72017
688,CB001688,31,Male,California,39000,3510,Some High School,94618
62,CB001062,26,Female,Texas,37000,3330,Associate's Degree,76657
368,CB001368,16,Male,Washington,430,30,,98601
721,CB001721,23,Female,California,19000,1140,GED,92553
596,CB001596,47,Male,California,140000,12600,Associate's Degree,93619
507,CB001507,22,Other,North Dakota,23000,1380,Some High School,58467
44,CB001044,34,Other,Iowa,26000,780,High School Diploma,52748
1215,CB002215,34,Female,Puerto Rico,34000,2040,Some College,698
40,CB001040,18,Male,Alabama,4400,396,Some High School,35441
1205,CB002205,27,Female,Oregon,27000,1080,GED,97050
1082,CB002082,47,Male,Pennsylvania,120000,8400,Associate's Degree,15378
231,CB001231,26,Male,Pennsylvania,29000,2610,Master's Degree,15435
606,CB001606,39,Male,Mississippi,63000,5670,GED,38677
1080,CB002080,30,Male,Georgia,34000,2380,Some College,30565
854,CB001854,27,Other,Nebraska,28000,1960,Bachelor's Degree,68442
657,CB001657,23,Female,Missouri,20000,1600,Some High School,65052
306,CB001306,44,Other,West Virginia,130000,3900,High School Diploma,25103
110,CB001110,30,Male,Indiana,28000,2520,,46978
349,CB001349,42,Male,West Virginia,110000,4400,High School Diploma,25162
376,CB001376,17,Male,Oklahoma,730,51,GED,73647
22,CB001022,26,Male,Virginia,48000,2880,Some High School,22834
1061,CB002061,47,Female,Missouri,110000,3300,Associate's Degree,64153
